,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325
0,34.418933,30.913301,57.364888,23.583343,22.627261,43.34236,39.836728,54.496644,55.771419,62.145295,0.0,0.0,84.453863,61.826601,101.025942,31.869382,0.0,106.125043,57.683582,40.792809,0.0,0.0,0.0,0.0,41.927416,37.657031,69.879026,28.728044,27.563394,52.797486,48.527101,66.385075,67.937942,75.702278,0.0,0.0,102.877455,75.314061,123.064729,38.821681,0.0,129.276198,70.267243,49.691752,0.0,0.0,0.0,0.0,48.309531,43.389116,80.515886,33.100975,31.759044,60.834225,55.913809,76.490091,78.279333,87.225543,0.0,0.0,118.537276,86.778232,141.797421,44.731048,0.0,148.954388,80.963196,57.255741,0.0,0.0,0.0,0.0,0.0
1,34.222323,30.736716,57.037206,23.448629,22.498009,43.094778,39.609171,54.185345,55.452839,61.790306,0.0,0.0,83.971442,61.473433,100.448857,31.687336,0.0,105.51883,57.354079,40.559791,0.0,0.0,0.0,0.0,40.858445,36.696936,68.097408,27.995601,26.860644,51.451375,47.289866,64.692537,66.205813,73.772192,0.0,0.0,100.254517,73.393873,119.927101,37.831893,0.0,125.980204,68.475727,48.424823,0.0,0.0,0.0,0.0,46.10129,41.405788,76.835483,31.587921,30.307329,58.053476,53.357974,72.993709,74.701164,83.23844,0.0,0.0,113.118905,82.811576,135.315823,42.686379,0.0,142.145643,77.262347,54.638566,0.0,0.0,0.0,0.0,0.0
2,34.504949,30.990556,57.508249,23.64228,22.683809,43.450677,39.936284,54.632836,55.910798,62.300603,0.0,0.0,84.664922,61.981113,101.278416,31.949027,0.0,106.390261,57.827739,40.894755,0.0,0.0,0.0,0.0,40.73967,36.590259,67.89945,27.914218,26.782561,51.301807,47.152396,64.504478,66.013354,73.557738,0.0,0.0,99.963079,73.180518,119.578476,37.721917,0.0,125.613983,68.276669,48.284053,0.0,0.0,0.0,0.0,44.453602,39.92592,74.089336,30.458949,29.224127,55.97861,51.450928,70.384869,72.031299,80.263448,0.0,0.0,109.075967,79.85184,130.479553,41.160742,0.0,137.065272,74.500944,52.68575,0.0,0.0,0.0,0.0,0.0
3,35.315963,31.718967,58.859939,24.197975,23.216976,44.471954,40.874957,55.916942,57.22494,63.764933,0.0,0.0,86.65491,63.437934,103.658892,32.699966,0.0,108.890886,59.186938,41.855956,0.0,0.0,0.0,0.0,40.502121,36.376905,67.503535,27.751453,26.626394,51.002671,46.877455,64.128358,65.628437,73.12883,0.0,0.0,99.380204,72.75381,118.881225,37.501964,0.0,124.88154,67.878555,48.002514,0.0,0.0,0.0,0.0,43.468386,39.041051,72.44731,29.783894,28.576439,54.737968,50.310632,68.824945,70.434885,78.484586,0.0,0.0,106.65854,78.082101,127.587763,40.248506,0.0,134.027524,72.849796,51.518087,0.0,0.0,0.0,0.0,0.0
4,37.724428,33.882125,62.874047,25.848219,24.800319,47.504836,43.662533,59.730345,61.127546,68.113551,0.0,0.0,92.564569,67.764251,110.728183,34.930026,0.0,116.316987,63.223347,44.710433,0.0,0.0,0.0,0.0,41.095994,36.910291,68.493323,28.158366,27.016811,51.750511,47.564808,65.068657,66.590731,74.2011,0.0,0.0,100.837392,73.820581,120.624352,38.051846,0.0,126.712647,68.873841,48.706363,0.0,0.0,0.0,0.0,43.094684,38.705411,71.824473,29.527839,28.330764,54.26738,49.878106,68.233249,69.829349,77.809846,0.0,0.0,105.741585,77.410821,126.490878,39.902485,0.0,132.875275,72.223498,51.075181,0.0,0.0,0.0,0.0,0.0
5,42.860849,38.495392,71.434748,29.367619,28.177039,53.972921,49.607464,67.863011,69.450449,77.387644,0.0,0.0,105.167823,76.990784,125.804528,39.685971,0.0,132.154284,71.831608,50.798043,0.0,0.0,0.0,0.0,42.368578,38.05326,70.614297,29.030322,27.853417,53.353024,49.037706,67.083582,68.652789,76.498822,0.0,0.0,103.959937,76.10652,124.359623,39.230165,0.0,130.636449,71.006599,50.214611,0.0,0.0,0.0,0.0,44.011953,39.529254,73.353256,30.156338,28.933784,55.42246,50.939761,69.685593,71.315665,79.466027,0.0,0.0,107.992293,79.058509,129.183234,40.751809,0.0,135.703523,73.760774,52.162315,0.0,0.0,0.0,0.0,0.0
6,46.670156,41.916714,77.783593,31.977699,30.681306,58.769826,54.016384,73.894413,75.622938,84.265559,0.0,0.0,114.514734,83.833428,136.98555,43.213107,0.0,143.899647,78.215724,55.312777,0.0,0.0,0.0,0.0,45.677298,41.02498,76.12883,31.297408,30.028594,57.51956,52.867243,72.322388,74.01414,82.472899,0.0,0.0,112.078555,82.049961,134.071328,42.293794,0.0,140.838335,76.551767,54.136057,0.0,0.0,0.0,0.0,49.294747,44.273986,82.157911,33.77603,32.406732,62.074866,57.054105,78.050016,79.875747,89.004404,0.0,0.0,120.954703,88.547971,144.68921,45.643284,0.0,151.992136,82.614344,58.423404,0.0,0.0,0.0,0.0,0.0
7,46.559563,41.817385,77.599272,31.901923,30.608602,58.630561,53.888383,73.719308,75.443736,84.065878,0.0,0.0,114.243372,83.634771,136.66094,43.110707,0.0,143.558653,78.030379,55.181704,0.0,0.0,0.0,0.0,46.542655,41.8022,77.571092,31.890338,30.597486,58.609269,53.868814,73.692537,75.416339,84.03535,0.0,0.0,114.201885,83.604399,136.611312,43.095051,0.0,143.50652,78.002042,55.161665,0.0,0.0,0.0,0.0,53.524379,48.072822,89.207298,36.674111,35.187323,67.40107,61.949512,84.746933,86.729317,96.641239,0.0,0.0,131.332966,96.145643,157.103963,49.55961,0.0,165.033501,89.702894,63.436301,0.0,0.0,0.0,0.0,0.0
8,43.88076,39.411423,73.1346,30.066447,28.847537,55.257253,50.787917,69.47787,71.103083,79.22915,0.0,0.0,107.670383,78.822847,128.798157,40.630333,0.0,135.29901,73.540903,52.006827,0.0,0.0,0.0,0.0,45.473684,40.842105,75.789474,31.157895,29.894737,57.263158,52.631579,72.0,73.684211,82.105263,0.0,0.0,111.578947,81.684211,133.473684,42.105263,0.0,140.210526,76.210526,53.894737,0.0,0.0,0.0,0.0,57.431268,51.581787,95.718779,39.351054,37.755741,72.320856,66.471375,90.932841,93.059925,103.695344,0.0,0.0,140.919314,103.163573,168.571406,53.1771,0.0,177.079742,96.25055,68.066688,0.0,0.0,0.0,0.0,0.0
9,42.062123,37.778018,70.103539,28.820344,27.651951,52.967118,48.683013,66.598362,68.156218,75.9455,0.0,0.0,103.207987,75.556036,123.460121,38.94641,0.0,129.691546,70.493003,49.851405,0.0,0.0,0.0,0.0,45.626394,40.979262,76.043991,31.262529,29.99513,57.45546,52.808327,72.241791,73.931658,82.38099,0.0,0.0,111.953653,81.958523,133.921917,42.246661,0.0,140.681383,76.466457,54.075727,0.0,0.0,0.0,0.0,61.066373,54.84665,101.777288,41.841774,40.145486,76.898396,70.678673,96.688424,98.950142,110.258729,0.0,0.0,149.838786,109.6933,179.241114,56.542938,0.0,188.287984,102.342718,72.374961,0.0,0.0,0.0,0.0,0.0
10,40.599841,36.464672,67.666401,27.818409,26.690636,51.125725,46.990556,64.283081,65.786779,73.305268,0.0,0.0,99.619979,72.929343,119.168051,37.592445,0.0,125.182842,68.042326,48.11833,0.0,0.0,0.0,0.0,45.219167,40.613511,75.365279,30.983504,29.727416,56.942655,52.336999,71.597015,73.271799,81.645719,0.0,0.0,110.954438,81.227023,132.72663,41.869599,0.0,139.425766,75.783975,53.593087,0.0,0.0,0.0,0.0,63.070777,56.646902,105.117962,43.215162,41.463196,79.42246,72.998584,99.862064,102.198018,113.877792,0.0,0.0,154.756999,113.293803,185.12441,58.398868,0.0,194.468229,105.70195,74.750551,0.0,0.0,0.0,0.0,0.0
11,39.629082,35.592786,66.04847,27.15326,26.052452,49.903288,45.866993,62.746046,64.21379,71.552509,0.0,0.0,97.238025,71.185573,116.318694,36.693594,0.0,122.189669,66.415406,46.967801,0.0,0.0,0.0,0.0,44.404713,39.882011,74.007855,30.425452,29.191987,55.917046,51.394344,70.307463,71.952082,80.175177,0.0,0.0,108.956009,79.764022,130.336057,41.115475,0.0,136.914533,74.41901,52.627808,0.0,0.0,0.0,0.0,64.344762,57.791129,107.241271,44.088078,42.300723,81.026738,74.473105,101.879207,104.262347,116.178043,0.0,0.0,157.882982,115.582259,188.863794,59.578484,0.0,198.396351,107.837056,76.260459,0.0,0.0,0.0,0.0,0.0
12,38.854932,34.897485,64.75822,26.622824,25.54352,48.928433,44.970986,61.520309,62.959381,70.154739,0.0,0.0,95.338491,69.794971,114.046422,35.976789,0.0,119.802708,65.117988,46.05029,0.0,0.0,0.0,0.0,44.421681,39.897251,74.036135,30.437078,29.203142,55.938413,51.413983,70.334328,71.979576,80.205813,0.0,0.0,108.997643,79.794501,130.38586,41.131186,0.0,136.96685,74.447447,52.647918,0.0,0.0,0.0,0.0,64.106952,57.57754,106.84492,43.925134,42.144385,80.727273,74.197861,101.502674,103.877005,115.748663,0.0,0.0,157.299465,115.15508,188.165775,59.358289,0.0,197.663102,107.438503,75.97861,0.0,0.0,0.0,0.0,0.0
13,38.375697,34.467061,63.959495,26.294459,25.228467,48.324952,44.416316,60.76152,62.182842,69.289453,0.0,0.0,94.16259,68.934122,112.639777,35.533053,0.0,118.325065,64.314825,45.482307,0.0,0.0,0.0,0.0,44.319874,39.805813,73.866457,30.367321,29.136214,55.810212,51.296151,70.173134,71.814611,80.021995,0.0,0.0,108.74784,79.611626,130.087039,41.036921,0.0,136.652946,74.276826,52.527258,0.0,0.0,0.0,0.0,64.106952,57.57754,106.84492,43.925134,42.144385,80.727273,74.197861,101.502674,103.877005,115.748663,0.0,0.0,157.299465,115.15508,188.165775,59.358289,0.0,197.663102,107.438503,75.97861,0.0,0.0,0.0,0.0,0.0
14,37.97019,34.102856,63.28365,26.016612,24.961884,47.814313,43.946979,60.119467,61.525771,68.557288,0.0,0.0,93.167596,68.205712,111.449539,35.157583,0.0,117.074753,63.635226,45.001707,0.0,0.0,0.0,0.0,43.776905,39.318146,72.961508,29.995287,28.779262,55.126473,50.667714,69.313433,70.9348,79.041634,0.0,0.0,107.415554,78.636292,128.493323,40.534171,0.0,134.97879,73.36685,51.883739,0.0,0.0,0.0,0.0,63.733249,57.2419,106.222082,43.669078,41.89871,80.256684,73.765335,100.910978,103.271469,115.073923,0.0,0.0,156.38251,114.4838,187.06889,59.012268,0.0,196.510852,106.812205,75.535703,0.0,0.0,0.0,0.0,0.0
15,37.626124,33.793833,62.710206,25.780862,24.735692,47.381044,43.548754,59.574696,60.968256,67.936056,0.0,0.0,92.323359,67.587666,110.43964,34.839003,0.0,116.013881,63.058596,44.593924,0.0,0.0,0.0,0.0,43.963551,39.485782,73.272584,30.123174,28.901964,55.361508,50.883739,69.608955,71.237235,79.378633,0.0,0.0,107.873527,78.971563,129.041163,40.706991,0.0,135.554281,73.679654,52.104949,0.0,0.0,0.0,0.0,63.002831,56.585876,105.004718,43.168606,41.418528,79.336898,72.919943,99.754483,102.087921,113.755112,0.0,0.0,154.59028,113.171752,184.924976,58.335955,0.0,194.258729,105.588078,74.670022,0.0,0.0,0.0,0.0,0.0
16,39.198999,35.206508,65.331665,26.858573,25.769712,49.361702,45.369212,62.065081,63.516896,70.77597,0.0,0.0,96.182728,70.413016,115.05632,36.295369,0.0,120.86358,65.694618,46.458073,0.0,0.0,0.0,0.0,43.420581,38.998115,72.367636,29.751139,28.545012,54.677769,50.255302,68.749254,70.357423,78.398272,0.0,0.0,106.541241,77.996229,127.447447,40.204242,0.0,133.880126,72.769678,51.46143,0.0,0.0,0.0,0.0,62.459264,56.097672,104.098773,42.796162,41.061183,78.652406,72.290815,98.893835,101.207141,112.773671,0.0,0.0,153.256527,112.195344,183.329506,57.832652,0.0,192.58273,104.6771,74.025794,0.0,0.0,0.0,0.0,0.0
