Year,Month,Day,Period,1,2,3
2020,1,1,1,506.2951450852286,608.4940678647841,672.6315176410219
2020,1,1,2,506.2951450852286,608.4940678647841,672.6315176410219
2020,1,1,3,506.2951450852286,608.4940678647841,672.6315176410219
2020,1,1,4,506.2951450852286,608.4940678647841,672.6315176410219
2020,1,1,5,506.2951450852286,608.4940678647841,672.6315176410219
2020,1,1,6,506.2951450852286,608.4940678647841,672.6315176410219
2020,1,1,7,506.2951450852286,608.4940678647841,672.6315176410219
2020,1,1,8,506.2951450852286,608.4940678647841,672.6315176410219
2020,1,1,9,506.2951450852286,608.4940678647841,672.6315176410219
2020,1,1,10,506.2951450852286,608.4940678647841,672.6315176410219
2020,1,1,11,506.2951450852286,608.4940678647841,672.6315176410219
2020,1,1,12,506.2951450852286,608.4940678647841,672.6315176410219
2020,1,1,13,512.8424013245622,623.5293010636273,688.9990151616834
2020,1,1,14,512.8424013245622,623.5293010636273,688.9990151616834
2020,1,1,15,512.8424013245622,623.5293010636273,688.9990151616834
2020,1,1,16,512.8424013245622,623.5293010636273,688.9990151616834
2020,1,1,17,512.8424013245622,623.5293010636273,688.9990151616834
2020,1,1,18,512.8424013245622,623.5293010636273,688.9990151616834
2020,1,1,19,512.8424013245622,623.5293010636273,688.9990151616834
2020,1,1,20,512.8424013245622,623.5293010636273,688.9990151616834
2020,1,1,21,512.8424013245622,623.5293010636273,688.9990151616834
2020,1,1,22,512.8424013245622,623.5293010636273,688.9990151616834
2020,1,1,23,512.8424013245622,623.5293010636273,688.9990151616834
2020,1,1,24,512.8424013245622,623.5293010636273,688.9990151616834
2020,1,1,25,505.51466283219736,622.0650375864228,682.0630374198007
2020,1,1,26,505.51466283219736,622.0650375864228,682.0630374198007
2020,1,1,27,505.51466283219736,622.0650375864228,682.0630374198007
2020,1,1,28,505.51466283219736,622.0650375864228,682.0630374198007
2020,1,1,29,505.51466283219736,622.0650375864228,682.0630374198007
2020,1,1,30,505.51466283219736,622.0650375864228,682.0630374198007
2020,1,1,31,505.51466283219736,622.0650375864228,682.0630374198007
2020,1,1,32,505.51466283219736,622.0650375864228,682.0630374198007
2020,1,1,33,505.51466283219736,622.0650375864228,682.0630374198007
2020,1,1,34,505.51466283219736,622.0650375864228,682.0630374198007
2020,1,1,35,505.51466283219736,622.0650375864228,682.0630374198007
2020,1,1,36,505.51466283219736,622.0650375864228,682.0630374198007
2020,1,1,37,524.4181512991537,631.790097288189,688.4279336760628
2020,1,1,38,524.4181512991537,631.790097288189,688.4279336760628
2020,1,1,39,524.4181512991537,631.790097288189,688.4279336760628
2020,1,1,40,524.4181512991537,631.790097288189,688.4279336760628
2020,1,1,41,524.4181512991537,631.790097288189,688.4279336760628
2020,1,1,42,524.4181512991537,631.790097288189,688.4279336760628
2020,1,1,43,524.4181512991537,631.790097288189,688.4279336760628
2020,1,1,44,524.4181512991537,631.790097288189,688.4279336760628
2020,1,1,45,524.4181512991537,631.790097288189,688.4279336760628
2020,1,1,46,524.4181512991537,631.790097288189,688.4279336760628
2020,1,1,47,524.4181512991537,631.790097288189,688.4279336760628
2020,1,1,48,524.4181512991537,631.790097288189,688.4279336760628
2020,1,1,49,562.5394795739385,686.2175291261168,730.8737068944723
2020,1,1,50,562.5394795739385,686.2175291261168,730.8737068944723
2020,1,1,51,562.5394795739385,686.2175291261168,730.8737068944723
2020,1,1,52,562.5394795739385,686.2175291261168,730.8737068944723
2020,1,1,53,562.5394795739385,686.2175291261168,730.8737068944723
2020,1,1,54,562.5394795739385,686.2175291261168,730.8737068944723
2020,1,1,55,562.5394795739385,686.2175291261168,730.8737068944723
2020,1,1,56,562.5394795739385,686.2175291261168,730.8737068944723
2020,1,1,57,562.5394795739385,686.2175291261168,730.8737068944723
2020,1,1,58,562.5394795739385,686.2175291261168,730.8737068944723
2020,1,1,59,562.5394795739385,686.2175291261168,730.8737068944723
2020,1,1,60,562.5394795739385,686.2175291261168,730.8737068944723
2020,1,1,61,617.2484274528796,727.5893669822427,841.3671571975602
2020,1,1,62,617.2484274528796,727.5893669822427,841.3671571975602
2020,1,1,63,617.2484274528796,727.5893669822427,841.3671571975602
2020,1,1,64,617.2484274528796,727.5893669822427,841.3671571975602
2020,1,1,65,617.2484274528796,727.5893669822427,841.3671571975602
2020,1,1,66,617.2484274528796,727.5893669822427,841.3671571975602
2020,1,1,67,617.2484274528796,727.5893669822427,841.3671571975602
2020,1,1,68,617.2484274528796,727.5893669822427,841.3671571975602
2020,1,1,69,617.2484274528796,727.5893669822427,841.3671571975602
2020,1,1,70,617.2484274528796,727.5893669822427,841.3671571975602
2020,1,1,71,617.2484274528796,727.5893669822427,841.3671571975602
2020,1,1,72,617.2484274528796,727.5893669822427,841.3671571975602
2020,1,1,73,727.6834274191754,854.2432911449667,1004.2236575383839
2020,1,1,74,727.6834274191754,854.2432911449667,1004.2236575383839
2020,1,1,75,727.6834274191754,854.2432911449667,1004.2236575383839
2020,1,1,76,727.6834274191754,854.2432911449667,1004.2236575383839
2020,1,1,77,727.6834274191754,854.2432911449667,1004.2236575383839
2020,1,1,78,727.6834274191754,854.2432911449667,1004.2236575383839
2020,1,1,79,727.6834274191754,854.2432911449667,1004.2236575383839
2020,1,1,80,727.6834274191754,854.2432911449667,1004.2236575383839
2020,1,1,81,727.6834274191754,854.2432911449667,1004.2236575383839
2020,1,1,82,727.6834274191754,854.2432911449667,1004.2236575383839
2020,1,1,83,727.6834274191754,854.2432911449667,1004.2236575383839
2020,1,1,84,727.6834274191754,854.2432911449667,1004.2236575383839
2020,1,1,85,820.8536507909436,979.7406987680929,1126.613018115087
2020,1,1,86,820.8536507909436,979.7406987680929,1126.613018115087
2020,1,1,87,820.8536507909436,979.7406987680929,1126.613018115087
2020,1,1,88,820.8536507909436,979.7406987680929,1126.613018115087
2020,1,1,89,820.8536507909436,979.7406987680929,1126.613018115087
2020,1,1,90,820.8536507909436,979.7406987680929,1126.613018115087
2020,1,1,91,820.8536507909436,979.7406987680929,1126.613018115087
2020,1,1,92,820.8536507909436,979.7406987680929,1126.613018115087
2020,1,1,93,820.8536507909436,979.7406987680929,1126.613018115087
2020,1,1,94,820.8536507909436,979.7406987680929,1126.613018115087
2020,1,1,95,820.8536507909436,979.7406987680929,1126.613018115087
2020,1,1,96,820.8536507909436,979.7406987680929,1126.613018115087
2020,1,1,97,900.4077081018713,1079.906830260482,1221.5358544417184
2020,1,1,98,900.4077081018713,1079.906830260482,1221.5358544417184
2020,1,1,99,900.4077081018713,1079.906830260482,1221.5358544417184
2020,1,1,100,900.4077081018713,1079.906830260482,1221.5358544417184
2020,1,1,101,900.4077081018713,1079.906830260482,1221.5358544417184
2020,1,1,102,900.4077081018713,1079.906830260482,1221.5358544417184
2020,1,1,103,900.4077081018713,1079.906830260482,1221.5358544417184
2020,1,1,104,900.4077081018713,1079.906830260482,1221.5358544417184
2020,1,1,105,900.4077081018713,1079.906830260482,1221.5358544417184
2020,1,1,106,900.4077081018713,1079.906830260482,1221.5358544417184
2020,1,1,107,900.4077081018713,1079.906830260482,1221.5358544417184
2020,1,1,108,900.4077081018713,1079.906830260482,1221.5358544417184
2020,1,1,109,900.1844314669706,1058.560657593233,1231.5989407042766
2020,1,1,110,900.1844314669706,1058.560657593233,1231.5989407042766
2020,1,1,111,900.1844314669706,1058.560657593233,1231.5989407042766
2020,1,1,112,900.1844314669706,1058.560657593233,1231.5989407042766
