Year,Month,Day,Period,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
2020,1,1,1,136.65070558266478,609.3164182974191,348.8622133274019,589.1352971246902
2020,1,1,2,132.0697644135917,625.4251079499428,471.47810645236336,506.06627626705404
2020,1,1,3,124.29910194434117,537.4011587109704,471.7101617222606,512.6301966832501
2020,1,1,4,128.1694751451914,589.9662449478761,385.1239731736154,546.7914272360215
2020,1,1,5,111.60102060732484,514.3181945287021,385.9684419800182,486.8601070673868
2020,1,1,6,116.60974424292297,545.6382565715741,337.774742868423,436.00178289546074
2020,1,1,7,131.82939402198747,586.9772535486995,362.48295568448265,468.87601196818594
2020,1,1,8,128.29535335187472,574.660689776346,438.0203637132589,486.6175264846611
2020,1,1,9,119.54856874281184,548.2536870584293,384.98031758781724,502.7093910756049
2020,1,1,10,128.71398254664555,577.1956798848244,510.76621772487624,484.43300490812175
2020,1,1,11,120.31058751830476,580.2654015140181,465.20527386017017,483.2934997550786
2020,1,1,12,113.4790527225313,615.4022090288448,570.6435540895615,470.61381789050927
2020,1,1,13,119.85898237311757,616.9853868141088,554.7038096557488,503.36556648228157
2020,1,1,14,137.6120261437146,582.9568497105765,523.7228285672587,436.8271656885003
2020,1,1,15,122.29868323768616,563.2878498339878,553.514907206598,435.1153569690975
2020,1,1,16,125.09669499563397,447.598660009633,587.2528878105703,424.4914296180322
2020,1,1,17,126.88741819868669,458.0407653534445,592.9191192654325,418.2950090863838
2020,1,1,18,108.69910126345003,619.759379391092,600.020522932683,306.8998837589149
2020,1,1,19,104.69523526263535,588.0509288284326,612.0703154126986,287.940087046044
2020,1,1,20,115.73651071108006,640.1525002840795,649.6240320668181,272.5639273431657
2020,1,1,21,106.93439998795527,548.786301430799,609.9190249065188,274.90648209841015
2020,1,1,22,94.63984265684498,410.47800110554584,587.779222590423,425.2158391764651
2020,1,1,23,93.375821401577,402.98127766377917,724.6977713833645,456.3631427742421
2020,1,1,24,72.87733382984115,317.25345802094324,707.4749775372526,357.30645597244603
2020,1,2,1,74.16179192916111,325.6133082031265,767.1234398530179,330.91517533764153
2020,1,2,2,67.2290914575761,405.42183732118946,591.4490247992554,350.71634471108473
2020,1,2,3,72.92918605191385,347.5301753183064,706.9193697843901,365.8194769029019
2020,1,2,4,73.89184014642639,329.5133903649219,657.2839420027541,485.0922643983138
2020,1,2,5,82.59520371902977,252.7274543014598,545.3472572562771,525.8348515380046
2020,1,2,6,72.15462776825674,310.6105841495647,551.2205974444319,534.4897965078901
2020,1,2,7,64.02369976512558,242.04955366692624,525.8719093821779,538.0601728376001
2020,1,2,8,60.969471179848924,197.5061499068652,505.93897074539296,596.7081923097207
2020,1,2,9,82.03834913217622,257.5087891961347,584.4641928670069,626.7956668240402
2020,1,2,10,78.34217819139164,474.31985661301627,487.7084844267577,647.1204789598326
2020,1,2,11,76.88020497039982,501.21015838609515,498.0058302290043,564.0038569766964
2020,1,2,12,69.35826114282635,456.24970859331563,490.48193643098074,514.9160398255632
2020,1,2,13,75.21271683327922,489.64864705834594,374.49571598078575,549.0220585699345
2020,1,2,14,81.54581602072284,453.9140410440722,426.0236179428812,614.1880209728239
2020,1,2,15,79.36300447238442,418.58076486360517,475.3170059288268,432.822996475137
2020,1,2,16,76.76785186945976,481.66716230059274,577.6276356030296,525.5008825378935
2020,1,2,17,60.36674594690488,521.7542000862289,667.9910993902625,497.22392303539385
2020,1,2,18,63.40194862224774,459.80350000701327,548.3985162827959,568.0222432226426
2020,1,2,19,64.25076181215742,438.7310203919343,627.0800520272011,558.9001489939892
2020,1,2,20,73.19431851845805,571.9791929503687,657.1956217118102,492.21631877429706
2020,1,2,21,86.5627885293706,507.29723337668895,607.2995566177872,490.7498305485048
2020,1,2,22,79.05146751012785,476.6714001665587,654.0964383925752,482.8709518642361
2020,1,2,23,58.72264340518333,532.7160745374171,558.0978061255814,386.35621681024594
2020,1,2,24,79.03806971839425,573.728197503604,671.4030417936003,450.66552925907814
